"Category URL","Category Name","First Page","Last Page","Source Domain","Product Count"
"https://www.6pm.com/women-shoes/CK_XAcABAeICAgEY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Shoes > Women","1","548","6pm.com","54706"
"https://www.6pm.com/women-clothing/CKvXAcABAeICAgEY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Clothing > Women","1","490","6pm.com","48949"
"https://www.6pm.com/men-clothing/CKvXAcABAuICAgEY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Clothing > Men","1","165","6pm.com","16464"
"https://www.6pm.com/men-shoes/CK_XAcABAuICAgEY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Shoes > Men","1","165","6pm.com","16441"
"https://www.6pm.com/women-sandals/CK_XARC51wHAAQHiAgMBAhg.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Shoes > Sandals > Women","1","151","6pm.com","15094"
"https://www.6pm.com/clothing/CKvXAToCng3iAgIBBw.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Clothing > Outdoor","1","138","6pm.com","13733"
"https://www.6pm.com/girls/wAED4gIBGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Girls","1","135","6pm.com","13475"
"https://www.6pm.com/women-boots/CK_XARCz1wHAAQHiAgMBAhg.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Shoes > Boots > Women","1","133","6pm.com","13256"
"https://www.6pm.com/null/4gIBMIIDA9uwAQ.zso?s=price/asc","LittleKid","1","126","6pm.com","12526"
"https://www.6pm.com/women-shirts-tops/CKvXARDL1wHAAQHiAgMBAhg.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Clothing > Shirts & Tops > Women","1","125","6pm.com","12445"
"https://www.6pm.com/women-dresses/CKvXARDE1wHAAQHiAgMBAhg.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Clothing > Dresses > Women","1","118","6pm.com","11795"
"https://www.6pm.com/search/null/filter/onHand/%221%22/zc1/%22Shoes%22/sort/isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Shoes > 1","1","116","6pm.com","11513"
"https://www.6pm.com/null/4gIBMIIDA9ywAQ.zso?s=percentOff/desc","BigKid","1","112","6pm.com","11128"
"https://www.6pm.com/women-heels/CK_XARC41wHAAQHiAgMBAhg.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Shoes > Heels > Women","1","93","6pm.com","9264"
"https://www.6pm.com/women-sneakers-athletic-shoes/CK_XARC81wHAAQHiAgMBAhg.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Shoes > Sneakers & Athletic Shoes > Women","1","89","6pm.com","8848"
"https://www.6pm.com/clothing/CKvXAToCnw3iAgIBBw.zso?s=recentSalesStyle/desc","Clothing > Athletic","1","88","6pm.com","8787"
"https://www.6pm.com/men-sneakers-athletic-shoes/CK_XARC81wHAAQLiAgMBAhg.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Shoes > Sneakers & Athletic Shoes > Men","1","85","6pm.com","8429"
"https://www.6pm.com/boys/wAEE4gIBGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Boys","1","82","6pm.com","8170"
"https://www.6pm.com/men-shirts-tops/CKvXARDL1wHAAQLiAgMBAhg.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Clothing > Shirts & Tops > Men","1","74","6pm.com","7357"
"https://www.6pm.com/bags/COjWAeICAQE.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Bags","1","73","6pm.com","7214"
"https://www.6pm.com/girls-shoes/CK_XAcABA-ICAgEY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Shoes > Girls","1","71","6pm.com","7011"
"https://www.6pm.com/women-ankle-boots-and-booties/CK_XARCz1wEYxuwBwAEB4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Shoes > Boots > Ankle Boots and Booties > Women","1","71","6pm.com","7020"
"https://www.6pm.com/girls-clothing/CKvXAcABA-ICAgEY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Clothing > Girls","1","61","6pm.com","6027"
"https://www.6pm.com/handbags/COjWARCS1wHiAgIBAg.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Bags > Handbags","1","53","6pm.com","5222"
"https://www.6pm.com/women-handbags/COjWARCS1wHAAQHiAgMBAhg.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Bags > Handbags > Women","1","52","6pm.com","5187"
"https://www.6pm.com/women-swimwear/CKvXARDR1wHAAQHiAgMBAhg.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Clothing > Swimwear > Women","1","52","6pm.com","5169"
"https://www.6pm.com/women-clothing/CKvXAToCnw3AAQHiAgMBGAc.zso?s=recentSalesStyle/desc","Clothing > Women > Athletic","1","49","6pm.com","4804"
"https://www.6pm.com/women-t-shirts/CKvXARDL1wEY4tcBwAEB4gIEAQIDGA.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Clothing > Shirts & Tops > T Shirts > Women","1","46","6pm.com","4525"
"https://www.6pm.com/coats-and-jackets/CKvXARDH1wE6Ap4N4gIDAQIH.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Clothing > Coats and Jackets > Outdoor","1","44","6pm.com","4396"
"https://www.6pm.com/boys-clothing/CKvXAcABBOICAgEY.zso?s=isNew/desc/goLiveDate/desc/recentSalesStyle/desc/","Clothing > Boys","1","44","6pm.com","4326"
"https://www.6pm.com/women-flats/CK_XARC11wHAAQHiAgMBAhg.zso?s=goliveRecentSalesStyle/desc/","Shoes > Flats > Women","1","42","6pm.com","4178"
