url,name,full name,items,ta pages
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Featured_Shop/DesignerJewelryandWatches/Jewelry.jsp,Jewelry,Shop  /  Jewelry & Watches  /  Designer Jewelry & Watches  /  Jewelry,1765,89
http://www.belk.com/AST/Main/Belk_Primary/Men/Shop/Designer.jsp,Designer,Shop  /  Men  /  Designer,1757,88
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/FineJewelry/Rings.jsp,Rings,Shop  /  Jewelry & Watches  /  Rings,1735,87
http://www.belk.com/AST/Main/Belk_Primary/BedBath/Shop/Bed.jsp,« Back to Bedding,Shop  /  Bed & Bath  /  Bed in a Bag  /  « Back to Bedding,1643,83
http://www.belk.com/AST/Main/Belk_Primary/Beauty_And_Fragrance/Shop/Beauty.jsp,Makeup,Shop  /  Beauty & Fragrance  /  Makeup,1642,83
http://www.belk.com/AST/Main/Belk_Primary/Shoes/Shop/Juniors.jsp,Shoes,Shop  /  Juniors  /  Shoes,1619,81
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/Watches/Womens.jsp,Watches,Shop  /  Women  /  Watches,1594,80
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/Watches/Mens.jsp,Watches,Shop  /  Men  /  Watches,1580,79
http://www.belk.com/AST/Main/Belk_Primary/Handbags_And_Accessories/Featured_Shop/DesignerHandbags.jsp,Designer Handbags,Shop  /  Handbags & Accessories  /  Designer Handbags,1578,79
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/FashionJewelry/Earrings/Linear.jsp,Linear & Drop,Shop  /  Jewelry & Watches  /  Earrings  /  Linear & Drop,1540,77
http://www.belk.com/AST/Main/Belk_Primary/Men/Shop/Accessories/Watches.jsp,Watches,Shop  /  Men  /  Accessories  /  Watches,1465,74
http://www.belk.com/AST/Main/Belk_Primary/Jewelry_And_Watches/Shop/Watches/Mens/AllMensWatches.jsp,All Men's Watches,Shop  /  Men  /  Watches  /  All Men's Watches,1425,72
http://www.belk.com/AST/Main/Belk_Primary/Men/Shop/Accessories/Watches/AllMensWatches.jsp,All Men's Watches,Shop  /  Men  /  Accessories  /  Watches  /  All Men's Watches,1425,72
http://www.belk.com/AST/Main/Belk_Primary/Women/Shop/Contemporary.jsp,Contemporary,Shop  /  Women  /  Contemporary,1405,71
