category id,url,name,Full Name,items,Pages
629c572c1385,https://www.dollartree.com/toys/craft-ideas/Graduation-Ideas/629c572c1385/index.cat,Graduation Ideas,Home  /  Toys & Crafts  /  Craft Ideas  /  Graduation Ideas,4,1
629c572c1308,https://www.dollartree.com/toys/craft-ideas/Baby-Shower-Crafts/629c572c1308/index.cat,Baby Shower Crafts,Home  /  Toys & Crafts  /  Craft Ideas  /  Baby Shower Crafts,4,1
963c601c1082,https://www.dollartree.com/Wholesale-Supplies-for-Hospitals-and-Care-Facilities-at-DollarTree-com/oral-care/Denture-Care/963c601c1082/index.cat,Denture Care,Home  /  Shop by Business  /  Care Facilities  /  Oral Care  /  Denture Care,4,1
962c601c1082,https://www.dollartree.com/Wholesale-Church-Supplies-Bibles-and-Personal-Care-at-DollarTree-com/oral-care/Denture-Care/962c601c1082/index.cat,Denture Care,Home  /  Shop by Business  /  Religious & Nonprofit Organizations  /  Oral Care  /  Denture Care,4,1
574c1376c1376,https://www.dollartree.com/party-supplies/Paisley/574c1376c1376/index.cat,Paisley,Home  /  Party Supplies  /  Paisley,5,1
574c585c585,https://www.dollartree.com/party-supplies/invitations/574c585c585/index.cat,Invitations,Home  /  Party Supplies  /  Invitations,5,1
1248c943c943,https://www.dollartree.com/Seasonal-Holidays/Calendars-Planners/1248c943c943/index.cat,Calendars & Planners,Home  /  Office & School  /  Calendars & Planners,5,1
1248c943c943,https://www.dollartree.com/Seasonal-Holidays/Calendars-Planners/1248c943c943/index.cat,Calendars & Planners,Home  /  Seasonal & Holidays  /  Calendars & Planners,5,1
1149c515c525,https://www.dollartree.com/Food-Snacks-Drinks/food/breads/1149c515c525/index.cat,Breads,Home  /  Food & Pantry  /  Food  /  Breads,5,1
574c862c660,https://www.dollartree.com/party-supplies/Shop-By-Color/Gray-Party-Supplies/574c862c660/index.cat,Gray Party Supplies,Home  /  Party Supplies  /  Shop By Color  /  Gray Party Supplies,5,1
629c572c1307,https://www.dollartree.com/toys/craft-ideas/Summer-Crafts/629c572c1307/index.cat,Summer Crafts,Home  /  Party Supplies  /  Wedding Ideas  /  Summer Crafts,5,1
591c601c1079,https://www.dollartree.com/health-beauty/oral-care/Teeth-Whiteners/591c601c1079/index.cat,Teeth Whiteners,Home  /  Health & Beauty  /  Oral Care  /  Teeth Whiteners,5,1
629c572c1307,https://www.dollartree.com/toys/craft-ideas/Summer-Crafts/629c572c1307/index.cat,Summer Crafts,Home  /  Health & Beauty  /  Care Package Ideas  /  Summer Crafts,5,1
629c572c1307,https://www.dollartree.com/toys/craft-ideas/Summer-Crafts/629c572c1307/index.cat,Summer Crafts,Home  /  Toys & Crafts  /  Craft Ideas  /  Summer Crafts,5,1
959c515c525,https://www.dollartree.com/Wholesale-Restaurant-Supplies-Glassware-and-Barware-at-DollarTree-com/food/breads/959c515c525/index.cat,Breads,"Home  /  Shop by Business  /  Restaurants, Bars & Hospitality  /  Food  /  Breads",5,1
963c515c525,https://www.dollartree.com/Wholesale-Supplies-for-Hospitals-and-Care-Facilities-at-DollarTree-com/food/breads/963c515c525/index.cat,Breads,Home  /  Shop by Business  /  Care Facilities  /  Food  /  Breads,5,1
963c601c1079,https://www.dollartree.com/Wholesale-Supplies-for-Hospitals-and-Care-Facilities-at-DollarTree-com/oral-care/Teeth-Whiteners/963c601c1079/index.cat,Teeth Whiteners,Home  /  Shop by Business  /  Care Facilities  /  Oral Care  /  Teeth Whiteners,5,1
962c515c525,https://www.dollartree.com/Wholesale-Church-Supplies-Bibles-and-Personal-Care-at-DollarTree-com/food/breads/962c515c525/index.cat,Breads,Home  /  Shop by Business  /  Religious & Nonprofit Organizations  /  Food  /  Breads,5,1
962c601c1079,https://www.dollartree.com/Wholesale-Church-Supplies-Bibles-and-Personal-Care-at-DollarTree-com/oral-care/Teeth-Whiteners/962c601c1079/index.cat,Teeth Whiteners,Home  /  Shop by Business  /  Religious & Nonprofit Organizations  /  Oral Care  /  Teeth Whiteners,5,1
1149c1158c1173,https://www.dollartree.com/Food-Snacks-Drinks/Candy-Gum/Sugar-Free-Candy/1149c1158c1173/index.cat,Sugar-Free Candy,Home  /  Food & Pantry  /  Candy & Gum  /  Sugar-Free Candy,6,1
1149c1157c1168,https://www.dollartree.com/Food-Snacks-Drinks/Snacks/Jerky-Beef-Sticks/1149c1157c1168/index.cat,Jerky & Beef Sticks,Home  /  Food & Pantry  /  Snacks  /  Jerky & Beef Sticks,6,1
1149c1157c1169,https://www.dollartree.com/Food-Snacks-Drinks/Snacks/Pudding-Applesauce/1149c1157c1169/index.cat,Pudding & Applesauce,Home  /  Food & Pantry  /  Snacks  /  Pudding & Applesauce,6,1
1149c509c510,https://www.dollartree.com/Food-Snacks-Drinks/paper-plastic/paper-towels-napkins/1149c509c510/index.cat,Paper Towels & Napkins,"Home  /  Food & Pantry  /  Paper, Plastic & Foam  /  Paper Towels & Napkins",6,1
574c577c1381,https://www.dollartree.com/party-supplies/birthday/Birthday-Bubble/574c577c1381/index.cat,Birthday Bubble,Home  /  Party Supplies  /  Birthday  /  Birthday Bubble,6,1
1149c1158c1173,https://www.dollartree.com/Food-Snacks-Drinks/Candy-Gum/Sugar-Free-Candy/1149c1158c1173/index.cat,Sugar-Free Candy,Home  /  Party Supplies  /  Candy & Gum  /  Sugar-Free Candy,6,1
591c592c1002,https://www.dollartree.com/health-beauty/baby-children/Baby-Toys/591c592c1002/index.cat,Baby Toys,Home  /  Health & Beauty  /  Baby & Children  /  Baby Toys,6,1
